YES
23 213
1 2 4
2 3 1
2 4 1
3 4 1
2 5 1
3 5 1
4 5 2
2 6 1
3 6 1
4 6 2
5 6 4
2 7 1
3 7 1
4 7 2
5 7 4
6 7 8
2 8 1
3 8 1
4 8 2
5 8 4
6 8 8
7 8 16
2 9 1
3 9 1
4 9 2
5 9 4
6 9 8
7 9 16
8 9 32
2 10 1
3 10 1
4 10 2
5 10 4
6 10 8
7 10 16
8 10 32
9 10 64
2 11 1
3 11 1
4 11 2
5 11 4
6 11 8
7 11 16
8 11 32
9 11 64
10 11 128
2 12 1
3 12 1
4 12 2
5 12 4
6 12 8
7 12 16
8 12 32
9 12 64
10 12 128
11 12 256
2 13 1
3 13 1
4 13 2
5 13 4
6 13 8
7 13 16
8 13 32
9 13 64
10 13 128
11 13 256
12 13 512
2 14 1
3 14 1
4 14 2
5 14 4
6 14 8
7 14 16
8 14 32
9 14 64
10 14 128
11 14 256
12 14 512
13 14 1024
2 15 1
3 15 1
4 15 2
5 15 4
6 15 8
7 15 16
8 15 32
9 15 64
10 15 128
11 15 256
12 15 512
13 15 1024
14 15 2048
2 16 1
3 16 1
4 16 2
5 16 4
6 16 8
7 16 16
8 16 32
9 16 64
10 16 128
11 16 256
12 16 512
13 16 1024
14 16 2048
15 16 4096
2 17 1
3 17 1
4 17 2
5 17 4
6 17 8
7 17 16
8 17 32
9 17 64
10 17 128
11 17 256
12 17 512
13 17 1024
14 17 2048
15 17 4096
16 17 8192
2 18 1
3 18 1
4 18 2
5 18 4
6 18 8
7 18 16
8 18 32
9 18 64
10 18 128
11 18 256
12 18 512
13 18 1024
14 18 2048
15 18 4096
16 18 8192
17 18 16384
2 19 1
3 19 1
4 19 2
5 19 4
6 19 8
7 19 16
8 19 32
9 19 64
10 19 128
11 19 256
12 19 512
13 19 1024
14 19 2048
15 19 4096
16 19 8192
17 19 16384
18 19 32768
2 20 1
3 20 1
4 20 2
5 20 4
6 20 8
7 20 16
8 20 32
9 20 64
10 20 128
11 20 256
12 20 512
13 20 1024
14 20 2048
15 20 4096
16 20 8192
17 20 16384
18 20 32768
19 20 65536
2 21 1
3 21 1
4 21 2
5 21 4
6 21 8
7 21 16
8 21 32
9 21 64
10 21 128
11 21 256
12 21 512
13 21 1024
14 21 2048
15 21 4096
16 21 8192
17 21 16384
18 21 32768
19 21 65536
20 21 131072
2 22 1
3 22 1
4 22 2
5 22 4
6 22 8
7 22 16
8 22 32
9 22 64
10 22 128
11 22 256
12 22 512
13 22 1024
14 22 2048
15 22 4096
16 22 8192
17 22 16384
18 22 32768
19 22 65536
20 22 131072
21 22 262144
4 23 1
1 23 4
